anomaly_class,rentengine_unit_id,rentengine_address,local_unit_id,local_unit_address,suggested_local_unit_id,suggested_local_unit_address,notes
unlinked_on_our_side,39324,"20 Angler Trl, Asheville, NC, 28803",,,,,No candidate match found
unlinked_on_our_side,39485,"78 Old Oak Hill Rd, Candler, NC, 28715",,,,,No candidate match found
unlinked_on_our_side,39486,"2383 Dutch Cove Rd #1 Unit 1, Canton, NC, 28716",,,,,No candidate match found
unlinked_on_our_side,39487,"2383 Dutch Cove Rd #2 Unit 2, Canton, NC, 28716",,,,,No candidate match found
unlinked_on_our_side,39488,"2383 Dutch Cove Rd #3 Unit 3, Canton, NC, 28716",,,,,No candidate match found
unlinked_on_our_side,41328,"303 Tarheel Dr, Waynesville, NC, 28786",,,,,No candidate match found
unlinked_on_our_side,41612,"118 Pine Hill Dr #2 Unit 2, Swannanoa, NC, 28778",,,,,No candidate match found
unlinked_on_our_side,41795,"442 Wickins Dr, Hendersonville, NC, 28791",,,,,No candidate match found
unlinked_on_our_side,42833,"460 Nc-208 Hwy, Marshall, NC, 28753",,,,,No candidate match found
unlinked_on_our_side,43015,"35 E Silverleaf Dr, Hendersonville, NC, 28739",,,,,No candidate match found
unlinked_on_our_side,45236,"575 Country Oak Drive, Asheville, NC, 28804",,,,,No candidate match found
unlinked_on_our_side,45514,"110 Deaver Park Circle, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,45515,"11 Rhudy Road, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,45711,"510 Deaverview Road, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,46487,"131 Moody Avenue, Candler, NC, 28715",,,,,No candidate match found
unlinked_on_our_side,47189,"6 Dogwood Court #B Unit B, Asheville, NC, 28805",,,,,No candidate match found
unlinked_on_our_side,48486,"16 Fortunate Drive #B Unit B, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,48993,"12 Riddle Road, Swannanoa, NC, 28778",,,,,No candidate match found
unlinked_on_our_side,50181,"110 Heywood Road #9b Unit 9b, Arden, NC, 28704",,,,,No candidate match found
unlinked_on_our_side,50582,"131 Tanner Trail, Waynesville, NC, 28785",,,,,No candidate match found
unlinked_on_our_side,52846,"26 Reid Street #1 Unit 1, Marion, NC, 28752",,,,,No candidate match found
unlinked_on_our_side,56794,"555 Baldwin Avenue, Marion, NC, 28752",,,,,No candidate match found
unlinked_on_our_side,60511,"211 Old Gibbs Road, Weaverville, NC, 28787",,,,,No candidate match found
unlinked_on_our_side,60536,"5 Rolos Way #5 Unit 5, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,60537,"13 Rolos Way #15 Unit 15, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,60749,"17 Clyde Street #B Unit B, Asheville, NC, 28801",,,,,No candidate match found
unlinked_on_our_side,61242,"817 Oakdale Road, Waynesville, NC, 28786",,,,,No candidate match found
unlinked_on_our_side,61245,"26 Reid Street #2 Unit 2, Marion, NC, 28752",,,,,No candidate match found
unlinked_on_our_side,61249,"51 Blue Ridge Acres Road, Asheville, NC, 28806",,,,,No candidate match found
unlinked_on_our_side,61333,"118 Pine Hill Drive, Swannanoa, NC, 28778",,,,,No candidate match found
